OTU ID	20-07-01-A-1	20-07-01-A-2	20-07-01-A-3	20-07-01-H-1	20-07-01-H-2	20-07-01-H-3	20-08-01-A-1	20-08-01-A-2	20-08-01-A-3	20-08-01-H-1	20-08-01-H-2	20-08-01-H-3	20-08-29-P-1	20-08-29-P-2	20-08-29-P-3	20-08-29-Q-1	20-08-29-Q-2	20-08-29-Q-3	20-09-05-A-1	20-09-05-A-2	20-09-05-A-3	20-09-05-H-1	20-09-05-H-2	20-09-05-H-3	20-09-26-P-1	20-09-26-P-2	20-09-26-P-3	20-09-26-Q-1	20-09-26-Q-2	20-09-26-Q-3	20-10-10-A-1	20-10-10-A-2	20-10-10-A-3	20-10-10-H-1	20-10-10-H-2	20-10-10-H-3	20-10-24-P-1	20-10-24-P-2	20-10-24-P-3	20-10-24-Q-1	20-10-24-Q-2	20-10-24-Q-3	20-11-07-A-1	20-11-07-A-2	20-11-07-A-3	20-11-07-H-1	20-11-07-H-2	20-11-07-H-3	20-11-28-P-1	20-11-28-P-2	20-11-28-P-3	20-11-28-Q-1	20-11-28-Q-2	20-11-28-Q-3	20-12-05-A-1	20-12-05-A-2	20-12-05-A-3	20-12-05-H-1	20-12-05-H-2	20-12-05-H-3	20-12-26-P-1	20-12-26-P-2	20-12-26-P-3	20-12-26-Q-1	20-12-26-Q-2	20-12-26-Q-3	21-01-09-A-1	21-01-09-A-2	21-01-09-A-3	21-01-09-H-1	21-01-09-H-2	21-01-09-H-3	21-01-23-P-1	21-01-23-P-2	21-01-23-P-3	21-01-23-Q-1	21-01-23-Q-2	21-01-23-Q-3	21-02-06-A-1	21-02-06-A-2	21-02-06-A-3	21-02-06-H-1	21-02-06-H-2	21-02-06-H-3	21-02-20-P-1	21-02-20-P-2	21-02-20-P-3	21-02-20-Q-1	21-02-20-Q-2	21-02-20-Q-3	21-03-06-A-1	21-03-06-A-2	21-03-06-A-3	21-03-06-H-1	21-03-06-H-2	21-03-06-H-3	taxonomy
OTU115	0	52	241	0	18	44	9	40	126	0	0	0	0	50	91	0	514	811	85	175	1539	0	5	0	5	157	374	0	79	247	0	78	268	0	0	0	0	995	1435	0	64	212	0	150	59	0	0	0	0	110	358	0	57	97	0	0	6	0	0	0	0	28	52	0	94	259	3	0	44	0	0	0	13	113	287	0	12	36	0	0	0	0	0	0	0	10	0	0	0	3	0	17	35	0	32	25	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Curtissbacteria;f__Candidatus_Curtissbacteria;g__Candidatus_Curtissbacteria;s__metagenome
OTU116	0	0	0	0	153	516	0	0	0	0	53	32	0	75	114	0	70	0	0	20	103	0	24	23	0	51	271	0	63	58	0	0	6	0	0	0	0	1517	4434	0	128	417	0	18	7	0	0	12	0	325	804	0	99	19	0	0	0	0	77	32	0	24	39	0	64	11	0	0	9	0	10	8	0	0	0	0	95	23	0	0	0	0	62	56	0	0	0	0	24	0	0	0	0	0	49	37	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;__
OTU117	8	85	32	0	135	51	35	269	2161	0	177	72	0	150	42	0	58	33	32	91	92	27	569	259	164	2417	3001	0	124	188	27	82	513	57	1524	1236	0	127	156	26	35	50	0	210	76	154	484	834	0	123	121	0	35	0	0	522	5071	102	495	251	0	72	153	0	74	28	0	22	102	614	162	129	23	84	467	49	265	126	0	736	1509	26	233	195	21	2410	32	0	3254	4146	0	104	155	0	380	130	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;__
OTU118	0	3	65	0	23	173	0	655	6033	0	457	114	0	38	161	0	56	239	27	80	469	0	93	6	0	50	54	0	21	272	0	18	228	0	16	14	0	10	69	0	0	116	0	0	0	0	27	12	0	97	213	0	5	75	0	0	0	0	48	24	0	6	142	0	0	74	5	0	53	0	25	8	0	18	49	0	131	405	0	0	20	0	0	0	0	0	0	0	0	7	0	24	306	0	93	29	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;__
OTU119	0	475	1503	0	111	48	91	67	97	0	446	106	0	78	130	0	694	943	0	72	286	0	375	269	0	85	91	0	332	326	0	355	991	0	80	73	0	216	153	0	1146	2365	0	983	568	0	303	432	0	238	435	0	159	147	0	54	111	0	253	151	0	153	652	0	155	237	105	244	1940	2	109	81	0	62	107	0	343	123	0	108	179	0	185	98	0	62	0	0	46	0	0	174	330	0	1717	747	d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured;__
OTU120	84	0	26	214	0	0	66	28	39	55	14	0	403	54	63	895	0	0	271	55	43	503	0	0	507	31	17	753	24	13	237	0	0	101	36	0	153	16	39	643	13	23	230	25	33	91	20	0	211	10	22	650	0	31	0	0	0	0	0	19	194	0	34	131	0	21	32	53	54	0	19	0	383	51	54	588	13	65	155	0	20	89	29	31	0	0	25	0	0	0	59	42	72	91	70	34	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__Dialister_sp.
OTU121	0	187	350	0	220	359	22	48	103	0	261	103	0	152	442	0	368	408	32	287	1006	0	480	239	0	39	56	0	239	306	0	150	385	0	84	85	0	94	153	0	120	198	0	701	200	0	91	175	0	639	708	0	91	99	0	19	36	0	612	257	0	128	409	0	55	48	7	24	188	0	122	102	0	40	148	0	42	51	0	117	151	0	145	99	0	64	0	0	24	33	0	351	514	0	203	97	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;s__uncultured_candidate
OTU122	0	415	1761	0	28	81	38	281	555	0	84	15	0	1843	4516	0	72	84	77	414	2134	0	546	102	10	407	420	0	12	19	0	471	1293	0	207	288	0	51	29	0	10	29	0	1326	541	0	84	141	0	498	817	0	19	57	0	36	101	0	114	15	0	81	400	0	106	178	116	508	3507	42	23	0	80	825	1829	0	606	1001	0	148	262	0	26	10	0	58	0	0	251	272	0	668	952	5	248	121	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;s__uncultured_bacterium
OTU123	0	690	60	0	362	63	8	411	167	0	1351	168	0	0	0	0	25	0	0	372	473	0	488	259	0	0	0	0	132	0	0	2170	283	0	105	76	0	27	0	0	124	0	0	3616	1272	0	775	1002	0	15	0	0	54	9	0	28	0	0	822	399	0	8	0	0	66	0	0	83	0	0	225	169	0	9	0	0	184	0	0	72	0	0	123	68	0	16	0	0	85	0	0	190	19	0	189	100	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium;s__uncultured_bacterium
OTU124	0	60	1063	0	0	0	61	9	592	0	0	12	0	23	30	0	58	95	54	74	1226	0	16	21	4	57	88	0	12	32	0	582	4216	0	102	133	0	7	0	0	0	0	0	2159	2189	0	14	21	0	0	0	0	87	259	0	0	12	0	0	0	0	0	4	0	0	19	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	27	0	21	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured;s__Neisseriaceae_bacterium
